id,name,system
4818,"Al-Jazari Port",72
4975,"Stirling Vision",28
4980,"Crown Station",220
5023,"Kekule Landing",161
5118,"Laird Orbital",87
5147,"Grant Station",73
5170,"Krylov Station",73
5339,"Adamson Terminal",188
5341,"Hauck Enterprise",5
5342,"Wohler Port",5
5343,"Morin Dock",12
5344,"Nicollier Terminal",12
5345,"So-yeon Dock",12
5346,"Needham Dock",12
5347,"Herzfeld Dock",12
5348,"Grabe Gateway",44
5350,"Lichtenberg Station",72
5351,"Delbruck Dock",72
5354,"Bolger Gateway",87
5355,"Alvarez de Pineda City",87
5356,"Fadlan Ring",87
5359,"Moffitt Terminal",89
5360,"Beaumont Terminal",89
5361,"Atwood Terminal",89
5362,"Huxley Port",89
5363,"Arnason Hub",89
5364,"Mitchison Orbital",89
5365,"Litke City",89
5366,"Alexander Terminal",89
5367,"Chargaff Port",98
5368,"Tshang Hub",107
5370,"Vonnegut Hub",107
5371,"Hinz Station",107
5372,"Lebesgue Orbital",107
5376,"Obruchev Vision",109
5389,"Duke Enterprise",205
5390,"Chretien Orbital",205
5391,"Crippen Terminal",205
5392,"Kepler Hub",214
5393,"Somerset Hub",228
5394,"Belyayev Mines",228
5395,"Euclid Dock",235
5396,"Deere Dock",235
5397,"Ramanujan Dock",239
5398,"Volta Station",239
5400,"Wilson Hub",260
5401,"MacKellar Ring",260
5402,"Hertz Station",260
5403,"Gerst Dock",260
5404,"Parmitano City",260
5405,"Musabayev Dock",260
5406,"Parise Terminal",260
5407,"Feoktistov Dock",260
5409,"Kelly Enterprise",263
5411,"Ising Port",263
5539,"Schiaparelli Vision",141
5602,"He Port",7
5611,"Smoot Gateway",1
5612,"Ampere Dock",4
5613,"Collins Port",7
5615,"Litke Port",7
5618,"Cook Gateway",25
5619,"Al-Battani Orbital",36
5620,"Walheim Installation",36
5621,"Artsebarsky Dock",55
5622,"Ericsson Port",55
5623,"Gantt Station",55
5624,"Borisenko Dock",63
5625,"Kaleri Market",63
5626,"Northrop Port",63
5627,"Payette Market",63
5628,"Siemens Orbital",63
5629,"Landsteiner City",81
5630,"Baturin Gateway",90
5631,"Borisenko Gateway",90
5632,"Crick City",90
5633,"Culbertson Terminal",90
5634,"Garriott Hub",90
5635,"Leibniz Dock",90
5636,"Vishweswarayya Ring",90
5637,"Atwater Terminal",99
5638,"Chilton Terminal",99
5639,"Davis Enterprise",99
5640,"Dunn Orbital",99
5641,"Onizuka Station",99
5642,"Scott Orbital",99
5643,"Still Dock",99
5645,"Avicenna City",124
5648,"Aristotle Platform",172
5651,"Chasles Port",173
5652,"Davidson Hub",173
5653,"Frechet Ring",173
5654,"Grant Gateway",173
5655,"Hinz Station",173
5656,"Stairs Terminal",173
5657,"Utley City",173
5659,"Balandin Hub",182
5660,"Bamford Ring",182
5661,"Burnell Colony",182
5663,"Forest Refinery",201
5667,"Glushko Station",222
5668,"Kaufmanis Hub",222
5669,"Nordenskiold Landing",223
5670,"Marlowe's Progress",223
5671,"Fisk Landing",226
5672,"Gaiman Dock",226
5673,"Konscak Colony",226
5674,"Boyle Refinery",234
5675,"Matteucci Colony",234
5677,"Bennett Gateway",250
5678,"Sacco Gateway",250
5679,"Olivas Survey",251
5680,"Alas Dock",253
5682,"Ferguson Market",253
5683,"Furrer City",253
5684,"Hooke Terminal",253
5685,"Hopkins Dock",253
5686,"Kondakova Station",253
5687,"Singer Dock",253
5688,"Wisoff Port",253
5689,"Bridges Landing",256
5690,"Landsteiner Terminal",268
5691,"Lindbohm Orbital",270
5692,"Phillips Orbital",270
5693,"Serrao Orbital",270
9209,"Danvers Survey",212
9391,"Qureshi Laboratory",141
9604,"Potrykus City",166
9748,"Lucid City",60
10028,"Dunbar Hub",60
10157,"Ising Dock",21
10162,"Armstrong Ring",4
10197,"Katzenstein Dock",170
10265,"Morey City",241
10350,"Hovell Mines",16
10449,"Fraunhofer Gateway",130
10478,"Song Settlement",62
10684,"Gibson City",119
10703,"Williamson Enterprise",34
10759,"Lerner Landing",108
10760,"Stefansson Settlement",108
10801,"Buckland Station",136
10802,"Glenn Enterprise",136
10803,"Coats Station",136
11186,"Nicholson Terminal",34
11241,"Yaping Terminal",247
11305,"Readdy City",202
11306,"Chilton Orbital",202
11308,"Nowak Dock",202
11309,"Yurchikhin Ring",202
11393,"Chawla Landing",117
11622,"Chretien Port",88
11697,"von Bellingshausen Orbital",103
11698,"Barcelos Hub",103
11705,"Mitropoulos Dock",236
11835,"Johnson Vision",53
11885,"Stasheff Horizons",16
11886,"Williamson Mines",16
11943,"Julian Hub",34
11956,"Asher Orbital",34
11972,"Shaikh Terminal",34
12074,"Nagata Terminal",34
12129,"Weiss Orbital",163
12130,"Webb Port",163
12382,"Argelander Gateway",222
12845,"Dillon Hub",242
13014,"Galilei Ring",269
13325,"Sacco Orbital",160
13368,"Crown Port",137
13371,"Rusch Dock",137
13408,"Steinmuller City",209
13418,"Bondar Enterprise",167
13456,"Titov Port",60
13486,"Veach Plant",127
13682,"Shaw Terminal",231
13723,"Gillekens Settlement",29
13746,"Haber Dock",118
13797,"Howe Relay",111
13838,"Hassanein Dock",135
13984,"Ross Gateway",75
14130,"McDermott Vision",130
14131,"Weaver Terminal",130
14132,"Whitcomb Ring",130
14155,"Fincke Landing",101
14176,"Farrer Landing",164
14177,"Cassidy Enterprise",164
14375,"Henderson Dock",163
14384,"Morris Vision",163
14424,"Williams City",163
14442,"Murray Gateway",160
14443,"Crippen Port",160
14444,"Covey Hub",160
14478,"Readdy Gateway",128
14482,"Roentgen Ring",128
14543,"Mendeleev Installation",256
14651,"Mayer Terminal",238
14697,"Aleksandrov Port",238
14698,"Curie Enterprise",238
14705,"Daimler Station",61
14710,"Ellern Station",110
14799,"Lunan Holdings",170
14800,"Weinbaum City",170
14806,"Nagel Hub",50
14827,"Nakaya Dock",50
14828,"Potter Terminal",50
14829,"Bushnell Station",50
14830,"Yamazaki Hub",50
14831,"Hale City",50
14832,"Land Enterprise",50
14833,"Xiaoguan Port",50
14897,"Rayhan al-Biruni Orbital",163
14898,"Ozanne Vision",163
14910,"Carter Market",231
14913,"Perrin Terminal",231
14914,"Ross Station",231
15051,"Herrington Gateway",216
15237,"Karlsefni Hub",69
15535,"Dalton Vision",265
15572,"Illy Port",197
15820,"Nielsen Hub",23
15821,"Efremov Camp",23
15908,"Hannu Ring",66
16541,"Collins Settlement",2
16542,"Zholobov Orbital",2
16544,"Hieb Orbital",3
16545,"Afanasyev Port",3
16546,"Hutton Port",3
16547,"Yurchikhin Port",3
16548,"Arber Terminal",3
16549,"Feustel Port",3
16550,"Voss Hub",3
16551,"Hornby Dock",3
16552,"Whitney Station",3
16780,"Archimedes Enterprise",221
16838,"Virchow City",221
16840,"Tuan Enterprise",221
16878,"Goeschke Horizons",199
17004,"MacLeod Market",181
17108,"Nagel Outpost",77
17158,"So-yeon Mines",20
17159,"Bennett Colony",20
17212,"Savery Hub",234
17217,"Babbage Gateway",9
17218,"Gohar City",9
17219,"Precourt Enterprise",9
17220,"Rushd Enterprise",9
17221,"Vesalius Port",9
17222,"Euler Ring",11
17223,"Onnes Hub",11
17224,"Parise Hub",11
17225,"Brandenstein Vision",13
17226,"Clairaut City",15
17227,"Gaultier de Varennes Enterprise",15
17229,"Schmitt Orbital",18
17230,"Frimout Port",18
17231,"Baturin City",18
17232,"Hammond Ring",18
17233,"Linenger Station",18
17234,"Eisele City",18
17235,"Ramon Station",18
17236,"Samokutyayev Orbital",29
17237,"Asimov Gateway",66
17238,"Budrys Ring",66
17239,"Green Dock",66
17240,"May Hub",66
17241,"Svavarsson Ring",66
17242,"Alpers Station",75
17243,"Cady Terminal",75
17244,"Cole Station",75
17245,"Lambert Ring",75
17246,"Langford Enterprise",75
17247,"Mourelle Terminal",75
17248,"Cartan Terminal",118
17249,"Anderson Ring",119
17250,"Romanenko Enterprise",119
17251,"Padalka City",160
17418,"Conway Dock",165
17420,"Normand Enterprise",165
17609,"Conrad Enterprise",202
17610,"Gamow Terminal",202
17611,"Hartlib Station",202
17612,"Liska Orbital",202
17613,"Scully-Power Ring",202
17614,"Filippenko Ring",203
17615,"Flagg Station",203
17616,"Stephan Gateway",203
17617,"Tomita Vision",203
17618,"Wright Station",203
17619,"Lonchakov Holdings",207
17681,"Rukavishnikov Hangar",196
17723,"Gallun Vision",54
17724,"Anthony Vision",54
17725,"Hume Vision",54
17727,"Wiley Station",56
17728,"MacLean City",56
17729,"Macquorn Rankine City",56
17730,"Helms Orbital",56
17731,"Ray Ring",56
17732,"Benz Ring",56
17733,"Appel Enterprise",56
17734,"Tognini Orbital",56
17735,"Jacquard Station",56
17736,"MacDonald Orbital",64
17737,"Bounds Hub",64
17738,"Macgregor City",64
17739,"Borisenko Station",65
17740,"Curie Port",65
17812,"Caselberg Dock",248
17813,"Francisco de Eliza Ring",248
17814,"Farouk Gateway",248
17815,"Rawn Ring",248
17816,"Kirtley Ring",248
17817,"Mallett Orbital",248
17818,"Preuss Enterprise",248
17819,"Desargues Gateway",248
17820,"Stevin Gateway",248
17839,"Sharipov Horizons",233
17875,"Pailes Enterprise",197
17935,"Beckman Hub",27
17976,"Thornton Port",27
18075,"Fancher Enterprise",35
18105,"Melvill Gateway",22
18168,"Lem Dock",69
18352,"Eyharts Enterprise",151
18353,"Herrington Enterprise",151
18354,"Cayley Orbital",151
18626,"Kovalevsky Orbital",39
18645,"Hippoc Bioceuticals Research Station",242
18663,"Usachov Beacon",57
18695,"Hodgkin Platform",77
18999,"Flade Port",274
19113,"Kraepelin City",86
19114,"Shatalov Station",86
19115,"Moore Terminal",86
19401,"Poncelet Terminal",97
19429,"Bella City",81
19532,"Rushd Terminal",254
19639,"Hirase Colony",96
19661,"Euclid Colony",142
19693,"Agassiz Orbital",221
19695,"Gillekens Gateway",221
19696,"Hurston Orbital",221
19697,"Meitner Terminal",221
19699,"Glidden City",221
19780,"Dzhanibekov Refinery",240
19788,"Stewart Gateway",67
19847,"Low Station",193
19910,"Alvares Settlement",185
20027,"Fowler Port",40
20028,"Whymper Stop",40
20034,"McArthur Mine",233
20035,"Schouten Hub",156
20038,"Silverberg Survey",10
20039,"Hahn Terminal",10
20161,"Polansky Settlement",211
20162,"Bamford Mines",211
20170,"Baker Orbital",120
20171,"Kwolek Platform",120
20172,"Lazutkin Orbital",120
20237,"Davy Settlement",213
20238,"Pauling Port",213
20288,"Bartoe Hub",43
20289,"Kerwin Hub",43
20307,"Abasheli Terminal",123
21021,"Gurragchaa Terminal",52
21022,"Hausdorff Hub",84
21023,"Foden Gateway",84
21024,"Barnaby Station",84
21025,"Nylund Gateway",84
21236,"Reis Port",246
21237,"Hutchinson Ring",246
21238,"Hiraga Terminal",246
21496,"Simak Enterprise",153
21497,"Jeury Station",153
21551,"Haro Port",134
21552,"Stephan Enterprise",134
21605,"Morukov Dock",41
21606,"Phillips Hub",41
21607,"Furrer Hub",41
21613,"Carlisle Terminal",212
21616,"Dorsett Horizons",45
21617,"Maxwell Terminal",45
21618,"Chadwick Station",6
21619,"Archimedes Base",6
21620,"Hirase Gateway",30
21621,"Mendeleev Port",30
21622,"Morey Terminal",30
21623,"Savery Enterprise",30
21624,"Wilcutt Port",30
21628,"Petaja Vision",186
21629,"Tudela City",186
21668,"Bardeen Survey",257
22264,"Maupertuis Settlement",105
22265,"Piazzi Platform",105
22269,"Czerneda's Pride",190
22270,"Gold Legacy",190
22276,"Grimwood Enterprise",74
22375,"Eddington Mines",245
22430,"Amis Oasis",114
22431,"Herreshoff Landing",114
22845,"Lovell Dock",81
22893,"Dorsey Terminal",149
22894,"Steinmuller Dock",149
22895,"Mieville Port",149
23320,"Lounge Station",232
23321,"Schrodinger Station",232
23322,"Faraday Orbital",232
23374,"Diophantus Station",132
23375,"Darnielle Hub",132
23417,"Pirsan Port",67
23418,"Delbruck Hub",67
23425,"Tucker City",38
23426,"Doctorow Station",38
23476,"Delbruck Depot",272
23518,"Edwards City",94
23519,"Tryggvason Terminal",94
23520,"Creamer Station",94
23668,"Ampere Enterprise",254
23773,"Pudwill Gorie Dock",169
23774,"Wang Port",169
23775,"Gardner Dock",169
23776,"Shargin Dock",169
23777,"Guidoni Port",169
23778,"Al-Jazari City",169
23779,"Hadfield Station",169
23780,"Stephenson Terminal",169
23781,"Dyson Terminal",169
23928,"Saunders Colony",93
23929,"Schilling Settlement",93
24027,"Zholobov Settlement",167
24033,"Lamarck Vision",46
24034,"Meucci Station",46
24236,"Stefansson Outpost",83
24259,"Hendel Station",140
24260,"Darnielle Enterprise",51
24261,"Cook Platform",51
24364,"Rorschach Ring",175
24382,"Cseszneky Enterprise",27
24383,"Illy Orbital",27
24384,"Wheeler Terminal",27
24500,"Oleskiw Gateway",166
24501,"Blaha Hub",166
24580,"Shawl Platform",91
24581,"Shepherd Port",91
24898,"Sagan Dock",200
24905,"Richards Terminal",79
24939,"Lucretius Dock",187
24940,"Walheim Enterprise",187
24941,"Sherrington Dock",187
24942,"Cugnot Dock",187
24943,"Runco City",187
24944,"Cabana Terminal",187
24945,"Brady City",187
24946,"Wegener Dock",187
24947,"Khayyam City",187
25026,"Ziemianski Port",115
25027,"Hedin Holdings",115
25049,"Veblen Station",48
25050,"Burroughs Survey",48
25081,"Peano Platform",157
25091,"Thierree Mine",183
25133,"Bode's Claim",112
25138,"Doctorow Settlement",33
25139,"Sturgeon Platform",33
25173,"Song Station",193
25174,"Laval Dock",193
25244,"Cenker Base",146
25245,"Volynov Colony",146
25277,"Capek City",198
25278,"Greenland City",198
25279,"Sohl Port",198
25296,"Wiley Dock",158
25300,"Bond Dock",70
25320,"McKie Station",71
25321,"Kreutz Vista",71
25322,"Proctor Vision",71
25570,"Swainson City",217
25571,"Bhabha Gateway",217
25572,"Oleskiw Station",217
25573,"Walheim Orbital",217
25574,"Goddard Ring",217
25575,"Otto Terminal",217
25576,"Olivas Station",217
26012,"Cauchy Orbital",32
26013,"Patterson Hangar",32
26108,"Cooper Orbital",229
26109,"Cseszneky Relay",229
26157,"Kornbluth Prospect",76
26158,"Burckhardt Port",76
26266,"Murphy City",180
26267,"Maine Landing",180
26382,"Hirase Platform",68
26383,"Haise Settlement",68
26384,"Khan Refinery",68
26851,"Ham Enterprise",145
26852,"Quimby Platform",145
26942,"Williams Port",34
29443,"Al-Farabi Landing",265
29643,"Runco Landing",225
29644,"Surayev Beacon",225
29759,"Dyson Station",168
29760,"Herzfeld Terminal",168
29761,"Heisenberg Ring",168
30280,"Banks Dock",104
30281,"Teller Terminal",267
30282,"Oswald Colony",267
30360,"Houtman Terminal",184
30361,"MacLeod's Progress",184
30498,"Mohmand Hub",264
30499,"Jemison Orbital",264
30500,"So-yeon Station",264
31356,"McDaniel Terminal",69
31357,"la Cosa Port",69
31358,"Bass Orbital",69
31359,"Scithers Ring",69
31360,"Reed Ring",69
31387,"Bakewell Market",131
31388,"Zamka City",131
31389,"Conway Port",131
31390,"Scully-Power Station",131
31391,"Parmitano Enterprise",131
31392,"Bhabha Orbital",131
31393,"Brandenstein Terminal",131
31394,"Ostwald Station",131
31395,"Stephenson Hub",131
32272,"Moisuc Platform",210
32273,"Lichtenberg Dock",139
32274,"Herbert Dock",139
32721,"Locke Market",128
32722,"Armstrong Gateway",128
32730,"Chaviano Freeport",14
33073,"Rosse Dock",227
33074,"Dillon Survey",227
33076,"Webb Vision",143
33077,"Weinbaum Arena",143
33104,"Sladek Gateway",252
33105,"Fermat Ring",252
33106,"Van Scyoc Port",252
33107,"Grzimek Dock",252
33108,"Coblentz Orbital",252
33109,"Porges Hub",252
33110,"Norman Port",252
35366,"Nelson Point",179
35367,"Moore Works",179
35558,"Zoline Port",147
35559,"Selous Landing",147
35841,"Ramaswamy Port",8
36295,"Goldberg Platform",195
36296,"Fowler Station",195
36297,"Carter Survey",58
36298,"Thuot Landing",58
36303,"Erdos Relay",150
36349,"Rand Orbital",113
36350,"Watts Dock",113
36351,"Mitropoulos Enterprise",113
36352,"Cartan Terminal",113
36353,"Doi Station",122
36354,"Lysenko Dock",122
36355,"Bosch Enterprise",122
39588,"Anderson Colony",19
39589,"Thornycroft Enterprise",19
39618,"Alexander Terminal",171
39619,"Rodrigues Dock",171
39620,"Busch Port",171
39621,"Abasheli Ring",171
39622,"Herreshoff Hub",171
39623,"Mitra Terminal",171
39809,"Neville Vision",35
39810,"Raleigh Terminal",35
40128,"Nehsi Hub",125
40129,"Hinz Dock",125
40130,"Hennepin Enterprise",125
40373,"Conrad Terminal",266
40374,"Wittgenstein Hub",266
40375,"Guidoni Dock",266
40376,"Clement Ring",266
40377,"Chapman Dock",266
40420,"Stiegler Terminal",138
40421,"Griffin Survey",138
40873,"Scobee Landing",88
40886,"Dunn Dock",215
40887,"Arber Port",215
40888,"Hire Orbital",215
41993,"Oppenheimer Dock",177
42061,"Yolen Works",170
42062,"Watts Stop",170
42083,"Strekalov Beacon",214
42211,"Lloyd Base",73
42501,"Collins Works",108
42658,"Nachtigal Settlement",61
42661,"Platt Barracks",61
42683,"De Caminha Keep",87
42785,"Lopez de Villalobos Landing",141
42788,"Vernadsky Penitentiary",29
42796,"Quaglia Base",141
42924,"Quimper Camp",139
43228,"Rice Prospect",7
43320,"Lee Survey",43
43321,"Coulomb Landing",169
43381,"Lamarck Silo",107
43415,"Colllins Settlement",266
43419,"Flade Plant",266
43422,"Fraser Hub",266
43472,"Sturckow Hub",254
43553,"Marques Forum",163
43608,"Lopez de Villalobos Arsenal",242
43642,"Walters Silo",98
43717,"Disch Vision",175
43720,"Barentsz Arsenal",175
43749,"Scortia Port",260
43750,"Williams' Inheritance",260
43753,"Gresh Town",260
43769,"Norgay Survey",182
43789,"Bella Laboratory",15
43832,"Dashiell Landing",87
43838,"Kratman Horizons",87
43855,"Corte-Real Arsenal",181
43970,"Emshwiller Landing",23
44129,"Bombelli Landing",173
44321,"Moore Beacon",235
44329,"Vinci Depot",263
44406,"Wilmore Depot",108
44476,"Cady Observatory",243
44481,"Grover Base",243
44483,"Gerlache Base",243
44626,"Willis Relay",86
44643,"Zillig Base",181
44762,"Zoline Base",144
44837,"Shaara Reach",262
44924,"Bogdanov Prospect",128
44932,"Maury Survey",140
45107,"Spassky Penal colony",222
45113,"Xuanzang's Folly",144
45214,"Cooper Relay",145
45234,"Vasilyev Observatory",113
45283,"Lunan Prospect",241
45353,"Svavarsson Landing",144
45415,"Ozanne Installation",181
45446,"Weinbaum Installation",109
45499,"Jernigan Prospect",239
45547,"Giacobini Base",1
45616,"Rushworth Beacon",68
45657,"Zamyatin Settlement",255
45660,"Hottot Works",255
45666,"Sleator's Folly",149
45673,"Cabrera Installation",255
45675,"Redi's Progress",255
45698,"Kovalyonok Enterprise",174
45703,"Jordan Hub",241
45816,"Normand Works",87
45900,"Lasswitz Gateway",130
45914,"Aldiss Bastion",130
45925,"Caidin Town",205
45968,"Landis Hub",226
45990,"Tito Beacon",215
46002,"Zindell Base",90
46006,"Wirtanen Base",248
46073,"Oltion Works",215
46085,"Hassanein Vision",73
46093,"Dirichlet Camp",226
46172,"Aldrin Horizons",205
46285,"Mohun Landing",241
46297,"Stein Survey",129
46376,"Carrasco Settlement",120
46579,"Bugrov Legacy",173
46841,"Payne-Scott Enterprise",130
46860,"Forfait Holdings",130
46861,"Vlamingh Vision",173
46867,"Thagard Survey",103
47057,"Bode Installation",113
47115,"Kratman Point",238
47200,"Archer Relay",199
47232,"Soukup Keep",81
47273,"Konscak Penal colony",84
47356,"Godwin Installation",7
47431,"Corte-Real Terminal",90
47440,"Cantor Camp",268
47506,"Lichtenberg Landing",269
47590,"Greenland's Progress",128
47639,"Garfinkle Landing",195
47665,"Kronecker Beacon",119
47698,"Markov's Claim",23
47729,"Mendeleev Base",43
47733,"Abnett Survey",270
47807,"Jemison Installation",21
47910,"Alvares Bastion",7
48046,"Sarich Stop",46
48154,"Vonnegut Lab",63
48336,"Patterson Depot",140
48341,"Ahern Holdings",73
48459,"Andersson Terminal",197
48557,"Mastracchio's Claim",57
48623,"Leinster Hub",46
48664,"Runco Terminal",72
48698,"Nourse Plant",268
48811,"Piccard Prospect",16
48815,"Humphreys Refinery",134
48926,"Rotsler Enterprise",208
48941,"Perga Gateway",173
48965,"Hamilton Barracks",231
48984,"Khrunov Relay",211
49148,"Barbaro Installation",113
49182,"Kandel Arsenal",1
49213,"Fancher Landing",252
49286,"Michelson Survey",68
49329,"Boe Depot",201
49330,"Teng Horizons",201
49337,"McArthur Keep",16
49360,"Hawkes Depot",44
49469,"Jones Stop",30
49516,"Arrhenius Beacon",36
49656,"Merle Base",166
49684,"Abasheli Base",158
49694,"Binder Base",252
49930,"Platt Relay",131
49932,"Matheson Prospect",216
50109,"Clarke Keep",55
50114,"Rawn Hub",269
50240,"Ibold Installation",193
50241,"Tanaka Terminal",193
50247,"Agnesi Silo",128
50279,"Toll Camp",171
50280,"Fisher Terminal",171
50281,"Rolland Barracks",171
50283,"Burgess Prospect",131
50284,"Clifton Relay",131
50285,"Lawson Hub",131
50322,"Carrasco's Claim",87
50389,"Akers Prospect",56
50390,"White Prospect",56
50391,"Filter's Prode",56
50392,"Kippax Holdings",56
50393,"Jones Relay",56
50394,"Smith Prospect",56
50395,"Barnes Reach",56
50396,"Litke Mine",56
50397,"Chilton Laboratory",56
50398,"Xiaoguan Landing",56
50399,"Stevin Penal Colony",56
50407,"Roberts Installation",144
50439,"Berezin's Progress",42
50492,"Seddon Silo",2
50500,"Littlewood Reach",3
50501,"Kepler's Inheritance",3
50502,"Weitz's Folly",3
50503,"Greenleaf's Progress",3
50504,"Chern Barracks",3
50695,"Carstensz Laboratory",173
50714,"Nelson Depot",165
50895,"Fife Vista",12
50896,"Saberhagen Base",12
51039,"King Holdings",174
51046,"Luiken's Folly",127
51095,"Bisson Landing",25
51099,"Sharp Camp",198
51100,"Shelley Settlement",198
51111,"Cuffey Prospect",130
51112,"Collins Camp",130
51113,"Lewis Vision",130
51114,"Hamilton Reach",130
51115,"Rothman Hub",130
51158,"Sarich Survey",238
51159,"Holdstock Arsenal",63
51161,"Collins Vision",42
51323,"Hertz Oasis",268
51350,"Chern Point",268
51396,"Chargaff Point",90
51503,"McAuley Penal colony",15
51835,"Andreas Terminal",231
51876,"Tryggvason Base",169
51938,"Ross Installation",174
51974,"Musgrave Prospect",228
52000,"Tucker Survey",124
52031,"Gaspar de Portola Keep",217
52055,"Williams Installation",203
52077,"Mukai Holdings",169
52196,"Minkowski Vision",156
52204,"Pennington Exchange",151
52214,"Williams' Progress",263
52283,"Morris Forum",66
52284,"Kerr Penal colony",66
52285,"Sagan Holdings",66
52286,"Ocampo's Inheritance",66
52287,"Crichton Observatory",66
52288,"Hillary Beacon",66
52299,"Crippen Reach",213
52335,"Hume Escape",123
52658,"Fuchs Base",52
52872,"Czerneda Installation",160
52873,"Chasles Gateway",160
52874,"Ryman Vision",160
52875,"Tuan Beacon",160
52885,"Meaney Stop",262
52941,"Fernao do Po Holdings",41
52945,"Fu Barracks",212
52946,"Alpers Oasis",212
52947,"McCarthy Vision",45
52948,"Morgan Terminal",6
52949,"Hoyle's Folly",6
52952,"Margulies Prospect",30
52953,"Boole Penal colony",30
52955,"Hausdorff Vista",186
52969,"Stein Port",12
53236,"Stillman Beacon",105
53238,"Nehsi Prospect",190
53239,"Aikin Survey",190
53264,"Keyes Silo",65
53265,"Lu Laboratory",65
53303,"Schottky Enterprise",114
53333,"Amis Base",137
53462,"de Andrade Laboratory",107
53463,"Andersson Relay",107
53464,"Whymper Vista",107
53504,"Lowry Vision",81
53537,"Levy Base",149
53732,"Stith Oasis",232
53733,"al-Din Keep",232
53761,"Robinson Installation",132
53770,"Caselberg Keep",205
53785,"Forest Beacon",67
53786,"Barnwell Hub",67
53789,"Cenker Penal colony",38
53790,"Mitchell Landing",38
53803,"Bresnik Camp",231
53832,"Eschbach Installation",87
53849,"Paulo da Gama Palace",94
53850,"Macquorn Rankine Settlement",94
53986,"Cochrane Terminal",240
53991,"Laird Hub",202
54075,"Van Scyoc Prospect",93
54076,"Haldeman II Relay",93
54077,"Herzfeld Survey",110
54080,"Frobisher City",163
54081,"Clark Keep",163
54082,"Shukor Keep",163
54083,"Archimedes Holdings",163
54128,"Chern Settlement",167
54219,"Nusslein-Volhard Horizons",164
54264,"Robinson Laboratory",51
54323,"Mitchell Hub",221
54324,"Broglie Beacon",221
54331,"Scheerbart's Progress",60
54343,"Martins Installation",75
54344,"Linaweaver Base",75
54345,"Matheson Mines",75
54346,"Minkowski Enterprise",75
54347,"Arrhenius Depot",75
54414,"Peary Refinery",91
54544,"Karlsefni Silo",200
54545,"Brule Settlement",200
54549,"Filipchenko Relay",79
54574,"Gamow Horizons",187
54575,"Shumil Terminal",187
54576,"Baxter Landing",187
54577,"Balmer's Inheritance",187
54578,"Menezes Prospect",187
54625,"Filter Vision",78
54626,"Weber Landing",78
54630,"Rawn Works",48
54631,"Leiber Prospect",42
54642,"Phillips Vista",157
54645,"Riemann Installation",183
54712,"Seddon Reach",146
54731,"Ohm Beacon",248
54732,"Andoyer Prospect",248
54742,"Chiang Silo",158
54743,"Malzberg Terminal",158
54744,"Lethem Vision",158
54745,"Stackpole Escape",158
54819,"Carver Settlement",241
54909,"Lovell Holdings",217
54910,"Howard Observatory",217
55085,"Dupuy de Lome Plant",9
55086,"Herreshoff Arsenal",9
55087,"McAuley's Progress",9
55137,"Kinsey Arena",28
55213,"Fawcett Keep",180
55214,"Grassmann Works",180
55252,"Nearchus Hub",119
55253,"Santos Enterprise",119
55254,"d'Eyncourt Oasis",119
55262,"Boulle Observatory",86
55273,"Readdy Relay",250
55274,"Auer Prospect",250
